"ID","MS.SubClass","Lot.Frontage","Lot.Area","Alley","Lot.Shape","Land.Contour","House.Style","Overall.Qual","Overall.Cond","Year.Built","Mas.Vnr.Area","Exter.Cond","BsmtFin.SF.2","Bsmt.Unf.SF","Total.Bsmt.SF","Heating.QC","X1st.Flr.SF","X2nd.Flr.SF","Low.Qual.Fin.SF","Gr.Liv.Area","Bsmt.Full.Bath","Bsmt.Half.Bath","Full.Bath","Half.Bath","Bedroom.AbvGr","Kitchen.Qual","Functional","Garage.Type","Garage.Cars","Garage.Cond","Paved.Drive","Wood.Deck.SF","Open.Porch.SF","Enclosed.Porch","X3Ssn.Porch","Screen.Porch","Misc.Feature","Misc.Val","Mo.Sold","Sale.Condition","SalePrice","is.miss.Lot.Frontage","is.miss.Mas.Vnr.Area"
12,20,0,7980,"NA","IR1","Lvl","1Story",6,7,1992,0,"Gd",0,233,1168,"Ex",1187,0,0,1187,1,0,2,0,3,"TA","Typ","Attchd",2,"TA","Y",483,21,0,0,0,"Shed",500,3,"Normal",18.5,1,0
13,60,63,8402,"NA","IR1","Lvl","2Story",6,5,1998,0,"TA",0,789,789,"Gd",789,676,0,1465,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",0,75,0,0,0,"NA",0,5,"Normal",18.04,0,0
15,120,0,6820,"NA","IR1","Lvl","1Story",8,5,1985,0,"TA",1120,0,1488,"TA",1502,0,0,1502,1,0,1,1,1,"Gd","Typ","Attchd",2,"TA","Y",0,54,0,0,140,"NA",0,6,"Normal",21.2,1,0
16,60,47,53504,"NA","IR2","HLS","2Story",8,5,2003,603,"TA",0,234,1650,"Ex",1690,1589,0,3279,1,0,3,1,4,"Ex","Mod","BuiltIn",3,"TA","Y",503,36,0,0,210,"NA",0,6,"Normal",53.8,0,0
17,50,152,12134,"NA","IR1","Bnk","1.5Fin",8,7,1988,0,"TA",0,132,559,"Gd",1080,672,0,1752,0,0,2,0,4,"TA","Typ","Basment",2,"TA","Y",325,12,0,0,0,"NA",0,6,"Normal",16.4,0,0
19,20,140,19138,"NA","Reg","Lvl","1Story",4,5,1951,0,"TA",0,744,864,"Ex",864,0,0,864,0,0,1,0,2,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,6,"Normal",14.1,0,0
22,85,85,10625,"NA","Reg","Lvl","SFoyer",7,6,1974,81,"TA",168,0,1053,"TA",1173,0,0,1173,1,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",0,120,0,0,0,"NA",0,1,"Family",17,0,0
23,60,0,7500,"NA","Reg","Lvl","2Story",7,5,2000,0,"TA",0,281,814,"Ex",814,860,0,1674,1,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",0,96,0,0,0,"NA",0,1,"Normal",21.6,1,0
24,20,0,11241,"NA","IR1","Lvl","1Story",6,7,1970,180,"TA",0,426,1004,"Ex",1004,0,0,1004,1,0,1,0,2,"TA","Typ","Attchd",2,"TA","Y",0,0,0,0,0,"Shed",700,3,"Normal",14.9,1,0
25,20,0,12537,"NA","IR1","Lvl","1Story",5,6,1971,0,"TA",0,344,1078,"Ex",1078,0,0,1078,1,0,1,1,3,"TA","Typ","Attchd",2,"TA","Y",0,0,0,0,0,"NA",0,4,"Normal",14.99,1,0
26,20,65,8450,"NA","Reg","Lvl","1Story",5,6,1968,0,"TA",0,281,1056,"Ex",1056,0,0,1056,1,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,85,184,0,0,"NA",0,7,"Normal",14.2,0,0
27,20,70,8400,"NA","Reg","Lvl","1Story",4,5,1970,0,"TA",78,0,882,"TA",882,0,0,882,1,0,1,0,2,"TA","Typ","Attchd",2,"TA","Y",240,0,0,0,0,"NA",0,4,"Normal",12.6,0,0
28,20,70,10500,"NA","Reg","Lvl","1Story",4,5,1971,0,"TA",0,432,864,"TA",864,0,0,864,0,0,1,0,3,"TA","Typ","NA",0,"NA","Y",0,0,0,0,0,"NA",0,4,"Normal",11.5,0,0
29,120,26,5858,"NA","IR1","Lvl","1Story",7,5,1999,0,"TA",0,354,1405,"Ex",1337,0,0,1337,1,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",203,68,0,0,0,"NA",0,6,"Normal",18.4,0,0
30,160,21,1680,"NA","Reg","Lvl","2Story",6,5,1971,504,"TA",0,327,483,"TA",483,504,0,987,0,0,1,1,2,"TA","Typ","Detchd",1,"TA","Y",275,0,0,0,0,"NA",0,2,"Normal",9.6,0,0
31,160,21,1680,"NA","Reg","Lvl","2Story",5,5,1971,492,"TA",0,225,525,"TA",525,567,0,1092,0,0,1,1,3,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,3,"Normal",10.55,0,0
32,160,21,1680,"NA","Reg","Lvl","2Story",6,5,1971,381,"TA",0,525,525,"TA",525,567,0,1092,0,0,1,1,3,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,3,"Family",8.8,0,0
34,160,24,2280,"NA","Reg","Lvl","2Story",6,6,1975,0,"TA",0,341,855,"TA",855,601,0,1456,0,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",173,0,0,0,0,"NA",0,6,"Normal",14.99,0,0
36,160,24,2280,"NA","Reg","Lvl","2Story",6,5,1978,0,"TA",0,544,855,"Fa",855,601,0,1456,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",26,0,0,0,0,"NA",0,7,"Normal",14.6,0,0
37,60,102,12858,"NA","IR1","Lvl","2Story",9,5,2009,162,"TA",0,1590,1590,"Ex",1627,707,0,2334,0,0,2,1,3,"Ex","Typ","Attchd",3,"TA","Y",144,133,0,0,0,"NA",0,1,"Partial",37.6162,0,0
38,20,98,11478,"NA","Reg","Lvl","1Story",8,5,2007,200,"TA",0,486,1704,"Ex",1704,0,0,1704,1,0,2,0,3,"Gd","Typ","Attchd",3,"TA","Y",0,50,0,0,0,"NA",0,5,"Normal",30.6,0,0
40,20,94,12883,"NA","IR1","Lvl","1Story",8,5,2009,256,"TA",0,1544,1544,"Ex",1544,0,0,1544,0,0,2,0,3,"Gd","Typ","Attchd",3,"TA","Y",0,35,0,0,0,"NA",0,6,"Partial",29.0941,0,0
41,20,95,12182,"NA","Reg","Lvl","1Story",7,5,2005,226,"TA",0,340,1541,"Ex",1541,0,0,1541,0,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",0,70,0,0,0,"NA",0,5,"Partial",22,0,0
42,20,90,11520,"NA","Reg","Lvl","1Story",9,5,2005,615,"TA",0,1588,1698,"Ex",1698,0,0,1698,0,0,2,0,3,"Ex","Typ","Attchd",3,"TA","Y",192,74,0,0,0,"NA",0,6,"Normal",27.5,0,0
43,20,79,14122,"NA","IR1","Lvl","1Story",8,5,2005,240,"TA",0,1794,1822,"Ex",1822,0,0,1822,0,0,2,0,3,"Ex","Typ","Attchd",3,"TA","Y",0,119,0,0,0,"NA",0,2,"Normal",25.9,0,0
46,120,44,6371,"NA","IR1","Lvl","1Story",7,5,2009,128,"TA",0,625,1358,"Ex",1358,0,0,1358,1,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",192,35,0,0,0,"NA",0,6,"Partial",22.4,0,0
47,20,110,14300,"NA","Reg","HLS","1Story",9,5,2003,1095,"TA",0,1473,2846,"Ex",2696,0,0,2696,1,0,2,1,3,"Ex","Typ","Attchd",3,"TA","Y",220,150,0,0,0,"NA",0,6,"Normal",50,0,0
48,60,105,13650,"NA","Reg","Lvl","2Story",8,5,2002,232,"TA",0,1093,1671,"Ex",1687,563,0,2250,1,0,2,1,3,"Gd","Typ","Attchd",3,"TA","Y",238,130,0,0,0,"NA",0,6,"Normal",32,0,0
49,120,61,7658,"NA","Reg","Lvl","1Story",9,5,2005,412,"TA",0,1296,1752,"Ex",1752,0,0,1752,1,0,2,0,2,"Ex","Typ","Attchd",2,"TA","Y",196,82,0,0,0,"NA",0,2,"Normal",31.99,0,0
50,120,41,7132,"NA","IR1","Lvl","1Story",8,5,2006,178,"TA",0,1346,1370,"Ex",1370,0,0,1370,0,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",120,49,0,0,0,"NA",0,4,"Normal",20.5,0,0
51,160,36,2628,"NA","Reg","Lvl","2Story",7,5,2003,106,"TA",0,764,764,"Ex",764,862,0,1626,0,0,2,1,2,"Gd","Typ","BuiltIn",2,"TA","Y",0,27,0,0,0,"NA",0,6,"Normal",17.55,0,0
52,20,100,18494,"NA","IR1","Lvl","1Story",6,5,2005,0,"TA",0,1324,1324,"Ex",1324,0,0,1324,0,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",36,23,0,0,0,"NA",0,1,"Normal",19.95,0,0
53,120,43,3203,"NA","Reg","Lvl","1Story",7,5,2006,14,"TA",0,1129,1145,"Ex",1145,0,0,1145,0,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",100,116,0,0,0,"NA",0,1,"Normal",16,0,0
54,120,43,3182,"NA","Reg","Lvl","1Story",8,5,2004,16,"TA",0,1232,1256,"Ex",1269,0,0,1269,0,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",146,20,0,0,144,"NA",0,4,"Normal",19.2,0,0
56,60,0,7851,"NA","Reg","Lvl","2Story",6,5,2002,0,"TA",0,235,860,"Ex",860,1100,0,1960,1,0,2,1,4,"Gd","Typ","BuiltIn",2,"TA","Y",288,48,0,0,0,"NA",0,5,"Normal",21.65,1,1
57,60,63,8577,"NA","IR1","Lvl","2Story",7,5,2004,0,"TA",0,847,847,"Ex",847,886,0,1733,0,0,2,1,3,"Gd","Typ","BuiltIn",2,"TA","Y",144,48,0,0,0,"NA",0,4,"Normal",18.5088,0,0
58,80,0,7750,"NA","IR1","Lvl","SLvl",7,5,2000,0,"TA",0,134,384,"Ex",774,656,0,1430,0,0,2,1,3,"TA","Typ","BuiltIn",2,"TA","Y",180,0,0,0,0,"NA",0,4,"Normal",18,1,0
61,60,60,17433,"NA","IR2","Lvl","2Story",8,5,1998,114,"TA",0,1629,1629,"Ex",1645,830,0,2475,0,0,2,1,4,"Gd","Typ","Attchd",3,"TA","Y",23,172,0,0,256,"NA",0,1,"Normal",35.5,0,0
62,20,59,10593,"NA","IR1","Lvl","1Story",7,5,1996,338,"TA",0,801,1720,"Ex",1720,0,0,1720,1,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",240,56,154,0,0,"NA",0,3,"Normal",26.04,0,0
63,60,98,12256,"NA","IR1","Lvl","2Story",8,5,1994,362,"TA",0,431,1463,"Ex",1500,1122,0,2622,1,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",186,32,0,0,0,"NA",0,4,"Normal",32.5,0,0
64,60,92,11764,"NA","IR1","Lvl","2Story",8,7,1999,348,"TA",0,628,1152,"Ex",1164,1106,0,2270,0,0,2,1,4,"Gd","Typ","Attchd",3,"TA","Y",132,57,0,0,0,"NA",0,4,"Normal",29,0,0
65,60,58,16770,"NA","IR2","Lvl","2Story",7,5,1998,30,"TA",0,1195,1195,"Gd",1195,644,0,1839,0,0,2,1,4,"TA","Typ","Attchd",2,"TA","Y",0,81,0,0,0,"NA",0,6,"Normal",22.1,0,0
67,20,73,8987,"NA","Reg","Lvl","1Story",8,5,2005,226,"TA",0,1595,1595,"Ex",1595,0,0,1595,0,0,2,0,2,"Gd","Typ","Attchd",3,"TA","Y",144,0,0,0,0,"NA",0,5,"Normal",22.15,0,0
68,20,92,9215,"NA","Reg","Lvl","1Story",7,5,2009,0,"TA",0,1218,1218,"Ex",1218,0,0,1218,0,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",0,136,0,0,0,"NA",0,4,"Partial",20.45,0,0
71,60,100,12552,"NA","Reg","Lvl","2Story",7,5,2004,0,"TA",0,769,991,"Ex",991,956,0,1947,0,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",0,136,0,0,0,"NA",0,5,"Normal",25.49,0,0
72,20,84,10440,"NA","Reg","Lvl","1Story",6,5,2005,0,"TA",0,54,1468,"Ex",1468,0,0,1468,1,0,2,0,2,"Gd","Typ","Attchd",2,"TA","Y",0,102,0,0,216,"NA",0,5,"Normal",27.15,0,0
73,60,76,10142,"NA","IR1","Lvl","2Story",7,5,2004,0,"TA",0,300,956,"Ex",956,1128,0,2084,1,0,2,1,4,"Gd","Typ","BuiltIn",2,"TA","Y",0,45,0,0,0,"NA",0,1,"Normal",23.3,0,0
75,60,0,8880,"NA","IR1","Lvl","2Story",7,5,1994,0,"TA",0,253,948,"Ex",1222,888,0,2110,1,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",0,130,0,0,0,"NA",0,5,"Normal",20.5,1,0
76,120,50,8012,"NA","Reg","Lvl","1Story",6,5,1980,0,"TA",119,261,923,"TA",923,0,0,923,0,0,2,0,2,"TA","Typ","Attchd",1,"TA","Y",80,0,0,0,0,"NA",0,5,"Normal",14.3,0,0
77,60,70,11218,"NA","Reg","Lvl","2Story",6,5,1992,0,"TA",0,1055,1055,"Ex",1055,790,0,1845,0,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",635,104,0,0,0,"Shed",400,5,"Normal",18.9,0,0
78,120,55,7892,"NA","Reg","Lvl","1Story",6,5,1979,0,"TA",0,918,918,"TA",918,0,0,918,0,0,2,0,2,"TA","Typ","Attchd",1,"TA","Y",28,0,0,0,0,"NA",0,4,"Normal",9.95,0,0
79,120,50,7175,"NA","Reg","Lvl","1Story",6,5,1984,0,"TA",121,0,744,"TA",752,0,0,752,1,0,1,0,2,"TA","Typ","Attchd",1,"TA","Y",353,0,0,0,90,"NA",0,2,"Normal",12.5,0,0
82,60,70,8400,"NA","Reg","Lvl","2Story",6,6,1980,130,"TA",0,650,650,"TA",888,676,0,1564,0,0,2,1,3,"TA","Typ","Attchd",2,"TA","Y",0,50,0,0,204,"NA",0,4,"Normal",17.1,0,0
83,30,70,9800,"NA","Reg","Lvl","1Story",5,5,1920,0,"Fa",0,816,816,"TA",1012,0,0,1012,0,0,1,0,2,"TA","Typ","Detchd",1,"TA","Y",121,0,80,0,0,"NA",0,4,"Normal",6.75,0,0
84,90,68,8930,"NA","Reg","Lvl","1.5Fin",6,5,1978,0,"TA",0,0,0,"TA",1318,584,0,1902,0,0,2,0,4,"TA","Typ","Attchd",2,"TA","Y",0,0,0,0,0,"NA",0,4,"Normal",11.2,0,0
85,85,88,11782,"NA","IR1","Lvl","SFoyer",5,7,1961,0,"TA",0,210,1109,"TA",1155,0,0,1155,1,0,1,0,3,"Gd","Min2","Detchd",2,"TA","Y",192,0,0,0,0,"Shed",400,6,"Normal",14.8,0,0
87,20,0,9819,"NA","IR1","Lvl","1Story",5,5,1967,31,"Gd",0,432,882,"TA",900,0,0,900,0,0,1,0,3,"TA","Typ","Detchd",1,"TA","Y",0,0,0,0,0,"NA",0,2,"Normal",12.2,1,0
88,20,75,7500,"NA","Reg","Lvl","1Story",5,5,1963,0,"TA",0,216,1040,"Fa",1040,0,0,1040,1,0,1,1,3,"TA","Typ","Attchd",1,"TA","Y",0,0,220,0,0,"NA",0,6,"Normal",13.3,0,0
90,20,39,15410,"NA","IR1","Lvl","1Story",6,6,1974,250,"Gd",859,223,1208,"Ex",1494,0,0,1494,1,0,2,0,3,"TA","Typ","Attchd",2,"TA","Y",296,0,186,0,0,"NA",0,4,"Abnorml",16.9,0,0
91,60,107,10186,"NA","IR1","Lvl","2Story",7,5,1992,0,"TA",0,76,750,"Ex",1061,862,0,1923,1,0,2,1,3,"Gd","Typ","Attchd",2,"TA","Y",240,39,0,0,0,"NA",0,6,"Normal",19,0,0
92,60,85,13143,"NA","IR1","Lvl","2Story",8,5,1993,504,"TA",981,0,1231,"Ex",1251,1098,0,2349,1,0,2,1,4,"Gd","Typ","Attchd",3,"TA","Y",32,130,0,0,0,"NA",0,6,"Normal",36.25,0,0
93,60,88,11134,"NA","Reg","Lvl","2Story",8,5,1992,180,"TA",0,261,1390,"Ex",1402,823,0,2225,1,0,2,1,4,"Gd","Typ","Attchd",3,"TA","Y",198,30,0,0,0,"NA",0,6,"Normal",28.5,0,0
97,160,30,3182,"Pave","Reg","Lvl","2Story",7,5,2004,0,"TA",0,600,600,"Ex",600,600,0,1200,0,0,2,1,2,"Gd","Typ","Detchd",2,"TA","Y",0,172,0,0,0,"NA",0,6,"Normal",15.1,0,0
98,160,24,2544,"Pave","Reg","Lvl","2Story",7,5,2004,0,"TA",42,190,600,"Ex",600,600,0,1200,1,0,2,1,2,"Gd","Typ","Detchd",2,"TA","Y",0,172,0,0,0,"NA",0,2,"Normal",14.95,0,0
99,160,24,2544,"Pave","Reg","Lvl","2Story",6,5,2005,216,"TA",0,224,600,"Ex",600,636,0,1236,1,0,2,1,2,"Gd","Typ","Detchd",2,"TA","Y",0,166,0,0,0,"NA",0,5,"Normal",15.2,0,0
100,20,0,4403,"NA","IR2","Lvl","1Story",7,5,2009,432,"TA",0,892,1470,"Ex",1478,0,0,1478,1,0,2,1,2,"Gd","Typ","Attchd",2,"TA","Y",0,144,0,0,0,"NA",0,6,"Partial",22.2,1,0
101,160,0,2117,"NA","Reg","Lvl","2Story",6,5,2000,216,"TA",0,378,756,"Ex",769,804,0,1573,0,0,2,1,3,"Gd","Typ","Detchd",2,"TA","Y",0,32,0,0,0,"NA",0,6,"Normal",17.75,1,0
102,160,0,2980,"NA","Reg","Lvl","2Story",6,5,2000,1159,"TA",0,290,756,"Ex",756,756,0,1512,1,0,2,1,2,"Gd","Typ","Detchd",2,"TA","Y",0,32,0,0,0,"NA",0,5,"Normal",17.7,1,0
103,160,24,2572,"NA","Reg","Lvl","2Story",7,5,1999,0,"TA",0,92,696,"Ex",696,720,0,1416,1,0,2,1,3,"Gd","Typ","Detchd",2,"TA","Y",0,44,0,0,0,"NA",0,5,"Normal",15.5,0,0
104,160,0,2403,"NA","IR1","Lvl","2Story",7,5,2003,0,"TA",0,286,530,"Ex",530,550,0,1080,0,0,2,1,2,"Gd","Typ","Attchd",2,"TA","Y",0,50,0,0,0,"NA",0,6,"Normal",14.711,1,0
105,20,57,12853,"Pave","IR1","Lvl","1Story",8,5,2010,0,"TA",0,610,1642,"Ex",1418,0,0,1418,1,0,1,1,1,"Gd","Typ","Attchd",3,"TA","Y",160,192,0,224,0,"NA",0,4,"Partial",26.7916,0,0
107,120,30,4420,"NA","IR1","Lvl","1Story",8,5,1980,0,"TA",0,0,728,"TA",788,0,0,788,1,0,1,0,1,"Gd","Typ","Detchd",2,"TA","Y",133,42,0,0,0,"NA",0,6,"Normal",15.5,0,0
108,120,40,3880,"NA","IR1","Lvl","1Story",8,6,1978,0,"TA",0,174,1226,"TA",1226,0,0,1226,1,0,1,0,1,"Gd","Typ","Attchd",2,"TA","Y",223,78,0,0,0,"NA",0,1,"Normal",20.6,0,0
110,20,80,8000,"NA","Reg","Lvl","1Story",7,5,2002,0,"TA",0,659,1492,"Ex",1492,0,0,1492,1,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",277,137,0,0,0,"NA",0,4,"Normal",23,0,0
111,20,0,10456,"NA","IR1","Lvl","1Story",6,6,1967,120,"TA",0,1323,1829,"Gd",1829,0,0,1829,1,0,2,0,4,"TA","Typ","Attchd",2,"TA","Y",0,76,0,0,0,"NA",0,5,"Normal",21.85,1,0
113,20,0,10603,"NA","IR1","Lvl","1Story",6,7,1977,28,"TA",0,410,1610,"Gd",1610,0,0,1610,1,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",168,68,0,0,0,"NA",0,2,"Normal",20.5,1,0
114,50,0,18837,"NA","IR1","Lvl","1.5Fin",6,5,1978,0,"TA",46,491,1224,"TA",1287,604,0,1891,0,1,3,0,3,"TA","Typ","Attchd",2,"TA","Y",0,69,0,0,0,"NA",0,4,"Normal",21.25,1,0
117,60,80,9600,"NA","Reg","Lvl","2Story",6,6,1971,0,"TA",0,386,715,"TA",930,715,0,1645,0,0,1,2,4,"TA","Typ","Attchd",2,"TA","Y",0,78,0,0,0,"NA",0,6,"Normal",17.1,0,0
119,20,0,9790,"NA","Reg","Lvl","1Story",6,5,1963,451,"TA",81,678,1328,"TA",1328,0,0,1328,1,0,1,1,3,"TA","Typ","Attchd",2,"TA","Y",0,26,0,0,0,"NA",0,6,"Normal",14.3,1,0
120,20,77,9320,"NA","IR1","Lvl","1Story",4,5,1959,0,"TA",0,381,950,"Fa",1225,0,0,1225,1,0,1,1,3,"TA","Typ","NA",0,"NA","Y",352,0,0,0,0,"Shed",400,1,"Normal",12.895,0,0
121,20,90,9900,"NA","Reg","Lvl","1Story",5,5,1966,0,"TA",0,150,1209,"Gd",1209,0,0,1209,1,0,1,0,3,"TA","Typ","Attchd",2,"TA","Y",0,0,120,0,0,"NA",0,4,"Normal",15.9,0,0
122,20,88,9680,"NA","Reg","Lvl","1Story",5,6,1967,268,"TA",0,500,1510,"Ex",1510,0,0,1510,1,0,2,0,3,"Gd","Typ","Attchd",2,"TA","Y",0,40,0,0,204,"NA",0,4,"Normal",17.89,0,0
123,80,0,10600,"Pave","IR1","Lvl","SLvl",6,5,1964,0,"TA",0,533,533,"TA",1131,644,0,1775,0,0,2,0,3,"TA","Typ","Attchd",2,"TA","Y",0,172,0,0,0,"NA",0,5,"Family",13.63,1,0
124,80,0,14112,"NA","IR1","Lvl","SLvl",5,7,1964,86,"TA",0,138,1152,"TA",1152,0,0,1152,1,0,1,0,3,"TA","Typ","Attchd",2,"TA","Y",227,0,0,0,0,"NA",0,4,"Normal",18.05,1,0
125,85,80,8800,"NA","Reg","Lvl","SFoyer",6,7,1963,156,"Gd",0,173,936,"Ex",1054,0,0,1054,1,0,1,0,3,"Gd","Typ","Attchd",2,"TA","Y",120,0,0,0,0,"NA",0,5,"Abnorml",13.75,0,0
126,90,98,13260,"NA","IR1","Lvl","1Story",5,6,1962,144,"TA",0,228,1728,"TA",1728,0,0,1728,2,0,2,0,6,"TA","Typ","NA",0,"NA","Y",0,0,0,0,0,"NA",0,1,"Abnorml",8.49,0,0
127,20,68,9717,"NA","Reg","Lvl","1Story",5,6,1950,0,"TA",1029,0,1078,"Gd",1078,0,0,1078,1,0,1,0,2,"Gd","Typ","Attchd",1,"TA","Y",366,0,112,0,0,"NA",0,4,"Normal",14.2125,0,0
128,50,68,9724,"NA","Reg","Lvl","1.5Fin",5,7,1952,265,"TA",0,470,1140,"Gd",1929,532,0,2461,0,0,2,0,3,"TA","Min2","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,3,"Normal",19.76,0,0
129,50,120,17360,"NA","Reg","Lvl","1.5Fin",6,6,1949,340,"Gd",0,482,782,"TA",1019,537,0,1556,0,0,2,0,3,"TA","Typ","Attchd",2,"TA","Y",0,0,150,0,0,"NA",0,1,"Normal",17.25,0,0
130,20,50,7207,"NA","IR1","Lvl","1Story",5,7,1958,0,"Gd",0,162,858,"Gd",858,0,0,858,1,0,1,0,2,"TA","Typ","NA",0,"NA","Y",117,0,0,0,0,"NA",0,2,"Normal",11.65,0,0
131,30,55,5350,"NA","IR1","Lvl","1Story",3,2,1940,0,"Po",0,728,728,"Ex",1306,0,0,1306,0,0,1,0,3,"Fa","Mod","NA",0,"NA","Y",263,0,0,0,0,"Shed",450,5,"Normal",7.65,0,0
132,20,80,9920,"NA","Reg","Lvl","1Story",5,5,1954,110,"TA",290,412,1056,"TA",1063,0,0,1063,1,0,1,0,3,"TA","Typ","Attchd",1,"TA","Y",0,0,164,0,0,"NA",0,2,"Normal",12.8,0,0
133,80,80,9600,"NA","Reg","Lvl","SLvl",6,6,1955,164,"TA",132,350,1156,"Ex",1520,0,0,1520,1,0,1,0,3,"TA","Typ","Basment",1,"TA","Y",0,0,189,0,0,"NA",0,3,"Normal",15.3,0,0
135,85,75,11380,"NA","IR1","Lvl","SFoyer",6,8,1966,216,"TA",0,136,1080,"Gd",1128,0,0,1128,1,0,1,0,2,"Gd","Typ","Attchd",1,"TA","Y",238,0,0,0,0,"Shed",1500,1,"Normal",17.8,0,0
136,90,80,11600,"NA","Reg","Lvl","2Story",5,5,1960,361,"TA",0,662,1105,"TA",1105,1169,0,2274,0,0,2,0,5,"TA","Typ","Detchd",2,"TA","Y",0,0,0,0,0,"NA",0,1,"Normal",15.43,0,0
137,20,0,19900,"NA","Reg","Lvl","1Story",7,5,1970,287,"TA",0,1035,1947,"TA",2207,0,0,2207,1,0,2,0,3,"TA","Min1","Attchd",2,"TA","Y",301,0,0,0,0,"NA",0,7,"Normal",18,1,0
